Number of People,Exponentiation Approximation,Factorial Equation,Coded Output
1.0,0.0,0.0,0.0
2.0,0.002739726027397249,0.002739726027397249,0.003
3.0,0.008196680350730179,0.008204165884781345,0.0081
4.0,0.016326175132688192,0.016355912466550326,0.0168
5.0,0.02706194179780841,0.02713557369979358,0.0255
6.0,0.040317030519740005,0.040462483649111536,0.041
7.0,0.05598498275133312,0.056235703095975365,0.0545
8.0,0.07394125468301205,0.07433529235166902,0.072
9.0,0.09404486501284048,0.09462383388916673,0.0954
10.0,0.11614023654879224,0.11694817771107768,0.1192
11.0,0.14005919802473354,0.141141378321733,0.1429
12.0,0.16562311016020548,0.16702478883806438,0.1684
13.0,0.19264507847148415,0.19441027523242937,0.1886
14.0,0.22093221466553126,0.223102512004973,0.223
15.0,0.25028790861398265,0.25290131976368635,0.2557
16.0,0.2805140738834109,0.2836040052528499,0.2838
17.0,0.31141333154182016,0.31500766529656066,0.3145
18.0,0.34279109940182606,0.34691141787178936,0.3545
19.0,0.37445755691404703,0.37911852603153673,0.3789
20.0,0.4062294594924657,0.41143838358057994,0.4165
21.0,0.437931780029604,0.4436883351652058,0.4443
22.0,0.4693991596297191,0.4756953076625501,0.4665
23.0,0.5004771540365807,0.5072972343239854,0.502
24.0,0.5310232667433115,0.5383442579145288,0.541
25.0,0.5609077642340204,0.5686997039694639,0.5689
26.0,0.5900142731165001,0.598240820135939,0.5957
27.0,0.6182401629679479,0.626859282263242,0.6232
28.0,0.6454967224493771,0.6544614723423994,0.6583
29.0,0.6717091395807101,0.680968537477777,0.6791
30.0,0.6968162999539518,0.7063162427192686,0.7056
31.0,0.7207704190581927,0.7304546337286438,0.726
32.0,0.7435365267749252,0.7533475278503207,0.7502
33.0,0.7650918234676976,0.774971854175772,0.7654
34.0,0.785424927943206,0.7953168646201543,0.7959
35.0,0.8045350379211029,0.8143832388747152,0.8083
36.0,0.8224310235481093,0.8321821063798795,0.8274
37.0,0.8391304739689956,0.8487340082163846,0.8492
38.0,0.8546587160708248,0.8640678210821209,0.8643
39.0,0.8690478233012772,0.878219664366722,0.8779
40.0,0.8823356309842172,0.891231809817949,0.8853
41.0,0.8945647728747912,0.9031516114817354,0.8998
42.0,0.9057817518709361,0.9140304715618692,0.9127
43.0,0.916036055884961,0.9239228556561199,0.9243
44.0,0.9253793279312841,0.9328853685514263,0.9349
45.0,0.933864597553359,0.940975899465775,0.942
46.0,0.9415455788377616,0.9482528433672547,0.9476
47.0,0.9484760384836917,0.9547744028332994,0.9546
48.0,0.9547092357425973,0.9605979728794224,0.9575
49.0,0.9602974345393973,0.9657796093226765,0.9661
50.0,0.9652914867514426,0.9703735795779884,0.9722
51.0,0.969740484465088,0.9744319933344283,0.9777
52.0,0.9736914780578503,0.9780045093342753,0.9768
53.0,0.9771892561665184,0.9811381134839128,0.9817
54.0,0.980276182993476,0.9838769627588515,0.9816
55.0,0.9829920879661255,0.9862622888164461,0.9868
56.0,0.9853742024856652,0.9883323548852008,0.9851
57.0,0.9874571383670745,0.9901224593411699,0.9905
58.0,0.9892729025657797,0.9916649793892612,0.9909
59.0,0.9908509428908026,0.992989448417817,0.9931
60.0,0.9922182196015111,0.994122660865348,0.9949
61.0,0.9933992980577853,0.9950887988052908,0.9968
62.0,0.9944164579244638,0.9959095748953655,0.9957
63.0,0.9952898148043288,0.9966043868309472,0.9962
64.0,0.9960374505748545,0.9971904789669755,0.9961
65.0,0.9966755491192575,0.9976831073124921,0.9978
66.0,0.9972185345604418,0.9980957046404045,0.9983
67.0,0.9976792095173446,0.9984400429793998,0.9988
68.0,0.9980688912987968,0.9987263912544141,0.9987
69.0,0.9983975443238351,0.9989636663083863,0.999
70.0,0.9986739074045339,0.9991595759651571,0.9985
